Reading Number,Minimum Distance,Time Stamp
0,1.9565263986587524,2018-08-10 08:59:51
1,2.115589141845703,2018-08-10 09:00:05
2,1.100000023841858,2018-08-10 09:00:26
3,1.0904924869537354,2018-08-10 09:00:32
4,3.0557727813720703,2018-08-10 09:00:45
5,5.0,2018-08-10 09:01:05
6,3.065793991088867,2018-08-10 09:01:35
7,3.9163126945495605,2018-08-10 09:02:02
8,1.3069669008255005,2018-08-10 09:02:12
9,1.5323106050491333,2018-08-10 09:02:38
10,5.0,2018-08-10 09:02:56
11,1.97992742061615,2018-08-10 09:03:16
12,5.0,2018-08-10 09:03:32
13,4.65540075302124,2018-08-10 09:03:43
14,3.363006830215454,2018-08-10 09:03:56
15,3.4494030475616455,2018-08-10 09:04:06
16,3.8184006214141846,2018-08-10 09:04:24
17,5.0,2018-08-10 09:04:42
18,3.5919690132141113,2018-08-10 09:05:19
19,3.6505463123321533,2018-08-10 09:05:54
20,2.493851661682129,2018-08-10 09:06:19
21,2.2204718589782715,2018-08-10 09:06:50
22,3.3603057861328125,2018-08-10 09:07:38
23,2.2472989559173584,2018-08-10 09:08:08
24,2.036184072494507,2018-08-10 09:08:49
25,2.950385332107544,2018-08-10 09:09:24
26,2.108750104904175,2018-08-10 09:09:37
27,2.167377471923828,2018-08-10 09:09:50
28,1.1200000047683716,2018-08-10 09:10:12
29,1.07279372215271,2018-08-10 09:10:18
30,3.0537068843841553,2018-08-10 09:10:31
31,5.0,2018-08-10 09:10:49
32,3.084301471710205,2018-08-10 09:11:19
33,3.3457601070404053,2018-08-10 09:11:50
34,1.116829514503479,2018-08-10 09:11:59
35,1.5493634939193726,2018-08-10 09:12:26
36,5.0,2018-08-10 09:12:49
37,1.921044111251831,2018-08-10 09:13:08
38,5.0,2018-08-10 09:13:25
39,4.536311626434326,2018-08-10 09:13:36
40,3.3587048053741455,2018-08-10 09:13:49
41,3.293739080429077,2018-08-10 09:13:59
42,3.478498697280884,2018-08-10 09:14:17
43,5.0,2018-08-10 09:14:34
44,5.0,2018-08-10 09:15:12
45,3.55598521232605,2018-08-10 09:15:47
46,2.4418272972106934,2018-08-10 09:16:18
47,2.183614730834961,2018-08-10 09:16:49
48,3.407421350479126,2018-08-10 09:17:36
49,2.2452571392059326,2018-08-10 09:18:06
50,2.0368895530700684,2018-08-10 09:18:48
51,2.900829553604126,2018-08-10 09:19:23
52,2.116389274597168,2018-08-10 09:19:35
53,2.10284686088562,2018-08-10 09:19:49
54,1.100000023841858,2018-08-10 09:20:11
55,1.0909532308578491,2018-08-10 09:20:16
56,3.032269239425659,2018-08-10 09:20:30
57,5.0,2018-08-10 09:20:47
58,3.1222546100616455,2018-08-10 09:21:18
59,3.2723186016082764,2018-08-10 09:21:44
