Reading Number,Minimum Distance,Time Stamp
60,1.2163925170898438,2018-08-10 09:21:54
61,1.5852724313735962,2018-08-10 09:22:20
62,5.0,2018-08-10 09:22:43
63,2.058943748474121,2018-08-10 09:23:02
64,5.0,2018-08-10 09:23:19
65,4.615367889404297,2018-08-10 09:23:30
66,3.408060073852539,2018-08-10 09:23:43
67,3.3407139778137207,2018-08-10 09:23:53
68,3.458315134048462,2018-08-10 09:24:11
69,5.0,2018-08-10 09:24:28
70,3.6801278591156006,2018-08-10 09:25:05
71,3.315512180328369,2018-08-10 09:25:46
72,2.4966378211975098,2018-08-10 09:26:17
73,2.114929676055908,2018-08-10 09:26:48
74,3.4036521911621094,2018-08-10 09:27:36
75,2.270540475845337,2018-08-10 09:28:05
76,2.0511770248413086,2018-08-10 09:28:47
77,2.8610966205596924,2018-08-10 09:29:22
78,1.998740792274475,2018-08-10 09:29:34
79,2.096066951751709,2018-08-10 09:29:47
80,1.1200000047683716,2018-08-10 09:30:10
81,1.0614991188049316,2018-08-10 09:30:15
82,3.205848455429077,2018-08-10 09:30:29
83,3.063723087310791,2018-08-10 09:30:46
84,3.0617849826812744,2018-08-10 09:31:16
85,3.9459190368652344,2018-08-10 09:31:47
86,1.134667992591858,2018-08-10 09:31:56
87,1.4283829927444458,2018-08-10 09:32:23
88,5.0,2018-08-10 09:32:45
89,1.8907463550567627,2018-08-10 09:33:05
90,5.0,2018-08-10 09:33:22
91,4.691704750061035,2018-08-10 09:33:34
92,3.4096696376800537,2018-08-10 09:33:47
93,3.678969144821167,2018-08-10 09:33:57
94,3.727778196334839,2018-08-10 09:34:15
95,5.0,2018-08-10 09:34:33
96,5.0,2018-08-10 09:35:11
97,3.4158785343170166,2018-08-10 09:35:46
98,2.6224913597106934,2018-08-10 09:36:10
99,2.149590253829956,2018-08-10 09:36:41
100,3.459829092025757,2018-08-10 09:37:29
101,2.199664831161499,2018-08-10 09:38:04
102,2.049117088317871,2018-08-10 09:38:46
103,2.902845859527588,2018-08-10 09:39:21
104,2.0524656772613525,2018-08-10 09:39:34
105,2.075216293334961,2018-08-10 09:39:47
106,1.1400002241134644,2018-08-10 09:40:09
107,1.0885835886001587,2018-08-10 09:40:15
108,3.1226389408111572,2018-08-10 09:40:29
109,5.0,2018-08-10 09:40:46
110,3.0821499824523926,2018-08-10 09:41:17
111,3.2774667739868164,2018-08-10 09:41:44
112,1.1180176734924316,2018-08-10 09:41:54
113,1.541114091873169,2018-08-10 09:42:20
114,5.0,2018-08-10 09:42:42
115,1.878441333770752,2018-08-10 09:43:01
116,5.0,2018-08-10 09:43:18
117,4.59334659576416,2018-08-10 09:43:30
118,3.46737003326416,2018-08-10 09:43:43
119,2.877575635910034,2018-08-10 09:43:52
120,3.7122411727905273,2018-08-10 09:44:11
121,5.0,2018-08-10 09:44:28
122,3.6557183265686035,2018-08-10 09:45:06
123,3.2630739212036133,2018-08-10 09:45:41
124,2.4911208152770996,2018-08-10 09:46:06
125,2.1350927352905273,2018-08-10 09:46:37
126,3.4404821395874023,2018-08-10 09:47:24
127,2.2607357501983643,2018-08-10 09:47:54
128,2.1395328044891357,2018-08-10 09:48:35
129,2.7956857681274414,2018-08-10 09:49:16
130,1.9763153791427612,2018-08-10 09:49:34
131,2.152646541595459,2018-08-10 09:49:48
132,1.1200000047683716,2018-08-10 09:50:10
133,1.1010810136795044,2018-08-10 09:50:16
134,3.0185370445251465,2018-08-10 09:50:30
135,5.0,2018-08-10 09:50:47
136,3.004204273223877,2018-08-10 09:51:17
137,3.3521924018859863,2018-08-10 09:51:48
138,1.1182621717453003,2018-08-10 09:51:58
139,1.4873985052108765,2018-08-10 09:52:24
140,5.0,2018-08-10 09:52:42
141,1.9079934358596802,2018-08-10 09:53:01
142,5.0,2018-08-10 09:53:18
143,4.542725563049316,2018-08-10 09:53:30
144,3.4988458156585693,2018-08-10 09:53:42
145,3.3699798583984375,2018-08-10 09:53:52
146,3.3158485889434814,2018-08-10 09:54:09
147,5.0,2018-08-10 09:54:27
148,4.176899433135986,2018-08-10 09:55:04
149,3.3069498538970947,2018-08-10 09:55:39
150,2.4908156394958496,2018-08-10 09:56:04
151,2.1406002044677734,2018-08-10 09:56:35
152,3.455503463745117,2018-08-10 09:57:22
153,2.2746341228485107,2018-08-10 09:57:51
154,2.0872514247894287,2018-08-10 09:58:33
155,2.7977118492126465,2018-08-10 09:59:08
156,2.1286683082580566,2018-08-10 09:59:20
157,2.1799824237823486,2018-08-10 09:59:33
158,1.1800000667572021,2018-08-10 10:00:00
159,1.1422783136367798,2018-08-10 10:00:06
160,3.2143893241882324,2018-08-10 10:00:20
161,5.0,2018-08-10 10:00:37
162,2.8926889896392822,2018-08-10 10:01:08
163,4.115030765533447,2018-08-10 10:01:36
164,1.2304388284683228,2018-08-10 10:01:46
165,1.452650547027588,2018-08-10 10:02:12
166,5.0,2018-08-10 10:02:30
167,1.8991929292678833,2018-08-10 10:02:49
168,5.0,2018-08-10 10:03:06
169,4.630954742431641,2018-08-10 10:03:18
170,3.326005220413208,2018-08-10 10:03:30
171,3.2571310997009277,2018-08-10 10:03:40
172,3.7413532733917236,2018-08-10 10:03:58
173,5.0,2018-08-10 10:04:16
174,3.566591262817383,2018-08-10 10:04:53
175,3.4520692825317383,2018-08-10 10:05:28
176,2.4983272552490234,2018-08-10 10:05:54
177,2.154559850692749,2018-08-10 10:06:25
178,3.3964805603027344,2018-08-10 10:07:12
179,2.2482669353485107,2018-08-10 10:07:41
180,2.0539438724517822,2018-08-10 10:08:22
181,2.9116811752319336,2018-08-10 10:08:57
182,2.0488998889923096,2018-08-10 10:09:09
183,2.1086251735687256,2018-08-10 10:09:23
184,1.1200003623962402,2018-08-10 10:09:45
185,1.072577714920044,2018-08-10 10:09:52
186,3.0681636333465576,2018-08-10 10:10:05
187,5.0,2018-08-10 10:10:26
188,3.0662100315093994,2018-08-10 10:10:56
189,3.9730308055877686,2018-08-10 10:11:26
190,1.1199504137039185,2018-08-10 10:11:37
191,5.0,2018-08-10 10:12:08
192,5.0,2018-08-10 10:12:26
193,1.9445507526397705,2018-08-10 10:12:46
194,5.0,2018-08-10 10:13:03
195,4.548122406005859,2018-08-10 10:13:15
196,3.447162628173828,2018-08-10 10:13:28
197,3.486633062362671,2018-08-10 10:13:37
198,3.743525266647339,2018-08-10 10:13:55
199,5.0,2018-08-10 10:14:13
200,3.6430273056030273,2018-08-10 10:14:51
201,3.221536636352539,2018-08-10 10:15:26
202,2.518824815750122,2018-08-10 10:15:51
203,2.081003427505493,2018-08-10 10:16:22
204,3.4570271968841553,2018-08-10 10:17:09
205,2.2856993675231934,2018-08-10 10:17:43
206,2.037203311920166,2018-08-10 10:18:24
207,2.857123374938965,2018-08-10 10:18:59
208,2.131265878677368,2018-08-10 10:19:11
209,2.142500162124634,2018-08-10 10:19:25
210,1.1200001239776611,2018-08-10 10:19:47
211,1.0759241580963135,2018-08-10 10:19:53
212,3.151167154312134,2018-08-10 10:20:06
213,5.0,2018-08-10 10:20:23
214,3.1157631874084473,2018-08-10 10:20:53
215,3.2438831329345703,2018-08-10 10:21:20
216,1.2507718801498413,2018-08-10 10:21:30
217,1.5494390726089478,2018-08-10 10:21:56
218,5.0,2018-08-10 10:22:20
219,1.8618887662887573,2018-08-10 10:22:40
220,5.0,2018-08-10 10:22:57
221,4.613595485687256,2018-08-10 10:23:09
222,3.3501505851745605,2018-08-10 10:23:22
223,2.9942262172698975,2018-08-10 10:23:31
224,3.295628070831299,2018-08-10 10:23:49
225,5.0,2018-08-10 10:24:07
226,3.607523202896118,2018-08-10 10:24:45
227,3.3923251628875732,2018-08-10 10:25:20
228,2.5045394897460938,2018-08-10 10:25:45
229,2.1380250453948975,2018-08-10 10:26:16
230,3.4077961444854736,2018-08-10 10:27:04
231,2.2284047603607178,2018-08-10 10:27:39
232,2.093477487564087,2018-08-10 10:28:21
233,2.907322645187378,2018-08-10 10:28:56
234,2.0024421215057373,2018-08-10 10:29:14
235,2.053879499435425,2018-08-10 10:29:28
236,1.1200000047683716,2018-08-10 10:29:50
237,1.0652799606323242,2018-08-10 10:29:56
238,3.1879689693450928,2018-08-10 10:30:09
239,5.0,2018-08-10 10:30:31
240,3.0191214084625244,2018-08-10 10:31:01
241,3.3943305015563965,2018-08-10 10:31:32
242,1.1936179399490356,2018-08-10 10:31:42
243,1.4790830612182617,2018-08-10 10:32:09
244,5.0,2018-08-10 10:32:27
245,1.9612902402877808,2018-08-10 10:32:46
246,5.0,2018-08-10 10:33:03
247,4.684970378875732,2018-08-10 10:33:15
248,3.439408302307129,2018-08-10 10:33:28
249,3.2601609230041504,2018-08-10 10:33:38
250,3.7913074493408203,2018-08-10 10:33:57
251,5.0,2018-08-10 10:34:14
252,3.5910308361053467,2018-08-10 10:34:52
253,3.629034996032715,2018-08-10 10:35:27
254,2.6280059814453125,2018-08-10 10:35:53
255,2.155059337615967,2018-08-10 10:36:23
256,3.3736867904663086,2018-08-10 10:37:12
257,2.2378532886505127,2018-08-10 10:37:41
258,2.15002179145813,2018-08-10 10:38:22
259,2.9022281169891357,2018-08-10 10:38:57
260,1.9523308277130127,2018-08-10 10:39:16
261,2.105745792388916,2018-08-10 10:39:29
262,1.1200000047683716,2018-08-10 10:39:51
263,1.067152976989746,2018-08-10 10:39:57
264,3.140185832977295,2018-08-10 10:40:10
265,5.0,2018-08-10 10:40:27
266,3.0743331909179688,2018-08-10 10:40:58
267,3.275303602218628,2018-08-10 10:41:25
268,1.1880980730056763,2018-08-10 10:41:34
269,1.5972119569778442,2018-08-10 10:42:00
270,5.0,2018-08-10 10:42:18
271,1.912569522857666,2018-08-10 10:42:37
272,5.0,2018-08-10 10:42:53
273,4.6499152183532715,2018-08-10 10:43:05
274,3.29939341545105,2018-08-10 10:43:18
275,2.984851598739624,2018-08-10 10:43:28
276,3.694828748703003,2018-08-10 10:43:46
277,5.0,2018-08-10 10:44:03
278,3.603409767150879,2018-08-10 10:44:40
279,3.4085917472839355,2018-08-10 10:45:15
280,2.6260826587677,2018-08-10 10:45:40
281,2.160771369934082,2018-08-10 10:46:11
282,3.4437997341156006,2018-08-10 10:46:59
283,2.2403624057769775,2018-08-10 10:47:27
284,2.038820505142212,2018-08-10 10:48:10
285,2.907670736312866,2018-08-10 10:48:45
286,2.137385845184326,2018-08-10 10:48:58
287,2.197368860244751,2018-08-10 10:49:11
288,1.100000262260437,2018-08-10 10:49:33
289,1.1105244159698486,2018-08-10 10:49:38
290,3.3188109397888184,2018-08-10 10:49:52
291,5.0,2018-08-10 10:50:13
292,2.9668891429901123,2018-08-10 10:50:44
293,3.331951856613159,2018-08-10 10:51:15
294,1.1087028980255127,2018-08-10 10:51:25
295,5.0,2018-08-10 10:51:53
296,5.0,2018-08-10 10:52:16
297,1.9818508625030518,2018-08-10 10:52:35
298,5.0,2018-08-10 10:52:52
299,4.48863410949707,2018-08-10 10:53:04
300,3.371657371520996,2018-08-10 10:53:16
301,3.2033438682556152,2018-08-10 10:53:26
302,3.640178680419922,2018-08-10 10:53:44
303,5.0,2018-08-10 10:54:01
304,3.712477684020996,2018-08-10 10:54:38
305,3.526989459991455,2018-08-10 10:55:13
306,2.4688899517059326,2018-08-10 10:55:38
307,2.1548941135406494,2018-08-10 10:56:09
308,3.434346914291382,2018-08-10 10:56:56
309,2.304230213165283,2018-08-10 10:57:24
310,2.066298484802246,2018-08-10 10:58:06
311,2.8958122730255127,2018-08-10 10:58:41
312,2.1765425205230713,2018-08-10 10:58:53
313,2.1219475269317627,2018-08-10 10:59:07
314,1.0800001621246338,2018-08-10 10:59:29
315,1.0842504501342773,2018-08-10 10:59:34
316,3.148653507232666,2018-08-10 10:59:48
317,5.0,2018-08-10 11:00:05
318,3.0639288425445557,2018-08-10 11:00:35
319,3.714953660964966,2018-08-10 11:01:04
320,1.1906945705413818,2018-08-10 11:01:13
321,1.4871574640274048,2018-08-10 11:01:39
322,5.0,2018-08-10 11:02:03
323,1.861341118812561,2018-08-10 11:02:22
324,5.0,2018-08-10 11:02:39
325,4.600852012634277,2018-08-10 11:02:50
326,3.373732566833496,2018-08-10 11:03:03
327,3.6470024585723877,2018-08-10 11:03:12
328,3.6661293506622314,2018-08-10 11:03:30
329,5.0,2018-08-10 11:03:48
330,1.84333336353302,2018-08-10 11:04:03
